master_protein	dosage	replicate	sample_id	Light	Heavy	Ratio
O60279	150	1	150_1	25.1561491354076	20.0624994391506	5.09364969625699
O60506	150	1	150_1	22.1211214512962	20.2083008834621	1.91282056783406
O60701	150	1	150_1	24.6182254965604	22.0777933195888	2.54043217697158
O60704	150	1	150_1	26.8682065083267	22.4733311880969	4.39487532022984
O60832	150	1	150_1	21.9552414380122	19.4470961861024	2.50814525190978
O75083	150	1	150_1	21.1556088435421	19.8424547012598	1.31315414228233
O75152	150	1	150_1	19.4844374403355	18.5742239372137	0.910213503121799
O75369	150	1	150_1	23.6649006110973	19.4184575272312	4.24644308386612
O75400	150	1	150_1	24.9919391224156	20.6092709030952	4.38266821932039
O75487	150	1	150_1	25.7412011532577	21.0910058426646	4.65019531059311
O75494	150	1	150_1	22.194602975158	20.1407099671628	2.0538930079952
O75533	150	1	150_1	21.655275912101	19.1032843062114	2.55199160588961
O75534	150	1	150_1	25.4653581395563	23.5405143809242	1.92484375863209
O76021	150	1	150_1	22.1279029632265	19.0732852103524	3.05461775287412
O76094	150	1	150_1	21.0879651859218	18.3798352293881	2.70812995653371
O94925	150	1	150_1	23.3142358220692	19.1622634664461	4.15197235562313
O95218	150	1	150_1	26.7045424693194	22.2773838251862	4.42715864413321
O95297	150	1	150_1	24.1908410563618	21.4394900342815	2.75135102208027
O95347	150	1	150_1	22.591036506409	18.4398957986045	4.15114070780447
O95487	150	1	150_1	20.5270722298269	17.690298137782	2.83677409204488
O95490	150	1	150_1	23.1480683565334	18.371059378521	4.77700897801233
O95758	150	1	150_1	22.8697852953294	21.1690806512892	1.70070464404015
O95793	150	1	150_1	20.9193797693574	19.447316931052	1.4720628383054
P00387	150	1	150_1	22.6166116588009	19.979804754977	2.63680690382384
P00558	150	1	150_1	24.8331595612275	21.8426848757024	2.99047468552515
P02545	150	1	150_1	24.8441613179167	21.3650493467352	3.47911197118157
P02751	150	1	150_1	23.0362970532537	20.9092274812089	2.12706957204481
P02786	150	1	150_1	22.7468113205693	19.928154008973	2.81865731159632
P04083	150	1	150_1	23.6386515610959	20.2955806228828	3.34307093821309
P04181	150	1	150_1	24.8754895913215	21.9266234111029	2.94886618021858
P04350	150	1	150_1	20.226703818325	20.0047032739544	0.222000544370601
P04406	150	1	150_1	24.3042892078024	20.2687489732011	4.03554023460133
P04792	150	1	150_1	26.967206224113	23.6246162109671	3.34259001314588
P04818	150	1	150_1	25.6981637310534	20.3930971287971	5.30506660225639
P04899	150	1	150_1	23.4877469303851	20.4935249713541	2.99422195903106
P05023	150	1	150_1	22.871106896587	20.680314293558	2.19079260302898
P05026	150	1	150_1	25.4360167898369	21.6003435164707	3.83567327336614
P05091	150	1	150_1	24.9065566813161	20.2854564056091	4.62110027570702
P05141	150	1	150_1	26.2952653141632	21.8734260883276	4.42183922583555
P05198	150	1	150_1	25.9696096063357	23.8623059068871	2.10730369944863
P05387	150	1	150_1	22.2461623059806	18.7551083325848	3.49105397339581
P05388	150	1	150_1	24.3042809603052	20.3574130504424	3.94686790986283
P05455	150	1	150_1	26.7700821032528	23.6130613233551	3.15702077989763
P05556	150	1	150_1	27.3318510074145	23.1177689856961	4.21408202171834
P06576	150	1	150_1	23.2105480578111	19.8813628963285	3.32918516148263
P06733	150	1	150_1	23.281972789901	20.0967753584726	3.18519743142844
P06748	150	1	150_1	25.0213756811121	22.2511937684733	2.77018191263879
P06756	150	1	150_1	23.4251755587368	19.7907877436346	3.63438781510218
P07195	150	1	150_1	22.9300849008307	19.6229809794187	3.30710392141197
P07237	150	1	150_1	24.625107595502	21.6623674508421	2.96274014465983
P07355	150	1	150_1	26.2377424884787	23.2775193188461	2.96022316963261
P07437	150	1	150_1	22.7937223648071	19.5396207897911	3.25410157501596
P07737	150	1	150_1	25.8259729560948	21.3285955580504	4.49737739804444
P07741	150	1	150_1	23.3578333240263	18.8514806580015	4.50635266602479
P07814	150	1	150_1	25.7651826829057	22.0451506602677	3.72003202263793
