GeneName	Description	Species	PE	SV
ELAVL4	ELAV-like protein	Homo sapiens	1	1
RPL11	60S ribosomal protein L11	Homo sapiens	1	2
RPS23	40S ribosomal protein S23	Homo sapiens	1	3
DIMT1	Probable dimethyladenosine transferase	Homo sapiens	1	1
HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	Homo sapiens	1	2
PTCD3	"Pentatricopeptide repeat domain-containing protein 3, mitochondrial"	Homo sapiens	1	3
DCAF13	DDB1- and CUL4-associated factor 13	Homo sapiens	1	1
WDR46	WD repeat-containing protein 46	Homo sapiens	1	3
DHX30	Putative ATP-dependent RNA helicase DHX30	Homo sapiens	1	1
TTF1	Transcription termination factor 1	Homo sapiens	1	3
C15orf52	Uncharacterized protein C15orf52	Homo sapiens	1	1
RPL7A	60S ribosomal protein L7a	Homo sapiens	1	2
RPA1	Replication protein A 70 kDa DNA-binding subunit	Homo sapiens	1	2
SF1	Splicing factor 1	Homo sapiens	1	4
EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	Homo sapiens	1	3
HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	Homo sapiens	1	2
HIST1H4A	Histone H4	Homo sapiens	1	2
RBM34	RNA-binding protein 34	Homo sapiens	1	2
HNRNPK	Heterogeneous nuclear ribonucleoprotein K	Homo sapiens	1	1
DIEXF	Digestive organ expansion factor homolog	Homo sapiens	1	2
KHDRBS1	"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	Homo sapiens	1	1
UTP3	Something about silencing protein 10	Homo sapiens	1	1
SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	Homo sapiens	1	2
MEX3A	RNA-binding protein MEX3A	Homo sapiens	1	1
KIF1B	Kinesin-like protein KIF1B	Homo sapiens	1	5
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	Homo sapiens	1	1
SFPQ	"Splicing factor, proline- and glutamine-rich"	Homo sapiens	1	2
TRIP12	E3 ubiquitin-protein ligase TRIP12	Homo sapiens	1	1
SRSF6	Serine/arginine-rich splicing factor 6	Homo sapiens	1	2
TRMT6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Homo sapiens	1	1
SUPV3L1	"ATP-dependent RNA helicase SUPV3L1, mitochondrial"	Homo sapiens	1	1
NOL7	Nucleolar protein 7	Homo sapiens	1	2
XRCC6	X-ray repair cross-complementing protein 6	Homo sapiens	1	2
HNRNPF	Heterogeneous nuclear ribonucleoprotein F	Homo sapiens	1	3
NOM1	Nucleolar MIF4G domain-containing protein 1	Homo sapiens	1	1
RPL22	60S ribosomal protein L22	Homo sapiens	1	2
RBM28	RNA-binding protein 28	Homo sapiens	1	3
DDX17	Probable ATP-dependent RNA helicase DDX17	Homo sapiens	1	1
DDX10	Probable ATP-dependent RNA helicase DDX10	Homo sapiens	1	2
PURB	Transcriptional activator protein Pur-beta	Homo sapiens	1	3
HNRNPL	Heterogeneous nuclear ribonucleoprotein L	Homo sapiens	1	2
HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	Homo sapiens	1	1
LDHA	L-lactate dehydrogenase A chain	Homo sapiens	1	2
ALYREF	THO complex subunit 4	Homo sapiens	1	3
ZC3H7B	Zinc finger CCCH domain-containing protein 7B	Homo sapiens	1	1
RPL13A	60S ribosomal protein L13a (Fragment)	Homo sapiens	1	2
RPF2	Ribosome production factor 2 homolog	Homo sapiens	1	2
UTP6	U3 small nucleolar RNA-associated protein 6 homolog	Homo sapiens	2	2
