Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
TRI25_HUMAN	0.000632417	0	0	0	Down-Down-Down
PDIP3_HUMAN	0.000632417	0	0	0	Down-Down-Down
GNS_HUMAN	0.00047619	0.000430663	0	0	Down-Down-Down
TMX1_HUMAN	0.00047619	0	0	0.000410509	Down-Down-Down
PLAP_HUMAN	0.00047619	0	0	0.000390625	Down-Down-Down
RL6_HUMAN	0.00047619	0.000430663	0	0	Down-Down-Down
COF1_HUMAN	0.000394322	0	0.000297442	0	Down-Down-Down
TIF1B_HUMAN	0.000394322	0	0	0.000390625	Down-Down-Down
FAS_HUMAN	0.049552351	0.040293055	0.0079208	0.067335027	Down-Down-Up
PRKDC_HUMAN	0.039723599	0.032930587	0.00063528	0.043141933	Down-Down-Up
CLH1_HUMAN	0.026010966	0.02398709	0.005122635	0.028330896	Down-Down-Up
TLN1_HUMAN	0.023191377	0.020358965	0.005636727	0.028840825	Down-Down-Up
PCBP1_HUMAN	0.014560613	0.014365087	0.007406708	0.014751385	Down-Down-Up
SRSF6_HUMAN	0.012417756	0.011061406	0.007880404	0.013930367	Down-Down-Up
PYR1_HUMAN	0.009731861	0.009622004	0.000297442	0.017234324	Down-Down-Up
DYHC1_HUMAN	0.009649992	0.006424542	0	0.010394858	Down-Down-Up
SYVC_HUMAN	0.009106955	0.00459567	0	0.010845135	Down-Down-Up
C1TC_HUMAN	0.008853838	0.004524858	0.000594884	0.011626385	Down-Down-Up
AN32A_HUMAN	0.008467027	0.007002618	0.007123937	0.009222983	Down-Down-Up
TCPQ_HUMAN	0.007053478	0.00376975	0.002621911	0.011997126	Down-Down-Up
RL22_HUMAN	0.006964098	0.006282917	0.006176544	0.010374974	Down-Down-Up
TERA_HUMAN	0.004977467	0.002442354	0.002203282	0.006018447	Down-Down-Up
SYIC_HUMAN	0.004672525	0.002153316	0	0.00566759	Down-Down-Up
SYEP_HUMAN	0.004352561	0.000430663	0	0.006038331	Down-Down-Up
IMB1_HUMAN	0.004032597	0.00211791	0.002203282	0.004045438	Down-Down-Up
CYR61_HUMAN	0.003958239	0	0.000297442	0.003965902	Down-Down-Up
RNPS1_HUMAN	0.003482049	0.00165184	0.002243677	0.005647706	Down-Down-Up
IPO7_HUMAN	0.003325822	0	0	0.004025554	Down-Down-Up
RS26_HUMAN	0.003243954	0.001221177	0.001608398	0.003615045	Down-Down-Up
SC24C_HUMAN	0.003243954	0	0	0.004396295	Down-Down-Up
RS14_HUMAN	0.00292399	0.00247776	0.001310956	0.003204536	Down-Down-Up
XPO2_HUMAN	0.002693405	0.000790514	0	0.003184652	Down-Down-Up
VINC_HUMAN	0.002693405	0.000430663	0	0.002833795	Down-Down-Up
RINI_HUMAN	0.002373441	0.000395257	0	0.002383518	Down-Down-Up
EIF3B_HUMAN	0.002291573	0.001616434	0.000675676	0.003555393	Down-Down-Up
EIF3G_HUMAN	0.002291573	0.001581028	0.000594884	0.002383518	Down-Down-Up
SF3B3_HUMAN	0.002053478	0.000861326	0	0.003985786	Down-Down-Up
PUR4_HUMAN	0.00197912	0.000790514	0	0.004376411	Down-Down-Up
U5S1_HUMAN	0.001815382	0	0	0.002873563	Down-Down-Up
CLU_HUMAN	0.001741024	0	0	0.004025554	Down-Down-Up
NOL6_HUMAN	0.001502929	0.000395257	0	0.00400567	Down-Down-Up
TCPB_HUMAN	0.001428571	0.000430663	0.001189768	0.002853679	Down-Down-Up
TNPO1_HUMAN	0.001428571	0.000430663	0	0.001642036	Down-Down-Up
UBP5_HUMAN	0.001264834	0.001256583	0	0.003184652	Down-Down-Up
COPA_HUMAN	0.001190476	0.000861326	0	0.00322442	Down-Down-Up
TKT_HUMAN	0.001190476	0.000395257	0	0.001642036	Down-Down-Up
RL23A_HUMAN	0.001182965	0.000861326	0.000973118	0.001602268	Down-Down-Up
DDX24_HUMAN	0.001108607	0.000430663	0.000297442	0.001602268	Down-Down-Up
PDC6I_HUMAN	0.001108607	0	0	0.001171875	Down-Down-Up
BTF3_HUMAN	0.001026739	0.000395257	0.00063528	0.001191759	Down-Down-Up
PUR6_HUMAN	0.000952381	0	0	0.002774143	Down-Down-Up
ZYX_HUMAN	0.000952381	0.000395257	0	0.002032661	Down-Down-Up
TAGL2_HUMAN	0.000952381	0.000861326	0	0.001642036	Down-Down-Up
STAU1_HUMAN	0.000870512	0.000430663	0.00063528	0.001211643	Down-Down-Up
RBM7_HUMAN	0.000870512	0	0.000297442	0.001992893	Down-Down-Up
PPIB_HUMAN	0.000714286	0	0.000337838	0.001602268	Down-Down-Up
