master_protein	cells	treatment	rep
O76021	MCF10A	CL	1
Q16658	MCF10A	CL	1
Q9H0H5	MCF10A	CL	1
P47974	MCF10A	CL	1
O43852	MCF10A	CL	1
P26368	MCF10A	CL	1
Q9UGR2	MCF10A	CL	1
P23528	MCF10A	CL	1
P26583	MCF10A	CL	1
Q5T6F2	MCF10A	CL	1
P09132	MCF10A	CL	1
Q6ZRV2	MCF10A	CL	1
O15230	MCF10A	CL	1
Q13595	MCF10A	CL	1
Q9BVJ6	MCF10A	CL	1
P09429	MCF10A	CL	1
Q13523	MCF10A	CL	1
Q8N9T8	MCF10A	CL	1
Q13151	MCF10A	CL	1
O75940	MCF10A	CL	1
Q8IZH2	MCF10A	CL	1
Q93008	MCF10A	CL	1
O75909	MCF10A	CL	1
P05204	MCF10A	CL	1
P61956	MCF10A	CL	1
P18433	MCF10A	CL	1
Q9H4L5	MCF10A	CL	1
P47914	MCF10A	CL	1
Q8TDN6	MCF10A	CL	1
P24821	MCF10A	CL	1
Q15043	MCF10A	CL	1
P11940	MCF10A	CL	1
P04004	MCF10A	CL	1
Q9Y490	MCF10A	CL	1
O00425	MCF10A	CL	1
Q96N67	MCF10A	CL	1
Q96I24	MCF10A	CL	1
P55081	MCF10A	CL	1
Q13084	MCF10A	CL	1
P46100	MCF10A	CL	1
Q9BRZ2	MCF10A	CL	1
Q8N4C8	MCF10A	CL	1
Q8WWY3	MCF10A	CL	1
Q9P0L0	MCF10A	CL	1
Q15758	MCF10A	CL	1
Q6YHK3	MCF10A	CL	1
P55072	MCF10A	CL	1
O43251	MCF10A	CL	1
P98160	MCF10A	CL	1
Q13155	MCF10A	CL	1
P62917	MCF10A	CL	1
P07996	MCF10A	CL	1
Q9UNX3	MCF10A	CL	1
Q9NQ29	MCF10A	CL	1
P56182	MCF10A	CL	1
P35637	MCF10A	CL	1
P61978	MCF10A	CL	1
Q8IZW8	MCF10A	CL	1
P16070	MCF10A	CL	1
P07954	MCF10A	CL	1
Q9BZI7	MCF10A	CL	1
P12270	MCF10A	CL	1
P08621	MCF10A	CL	1
P13667	MCF10A	CL	1
Q9GZR7	MCF10A	CL	1
Q3KQU3	MCF10A	CL	1
P62633	MCF10A	CL	1
O75665	MCF10A	CL	1
Q9BRL6	MCF10A	CL	1
Q9UN86	MCF10A	CL	1
P68400	MCF10A	CL	1
Q16666	MCF10A	CL	1
Q96F86	MCF10A	CL	1
P07237	MCF10A	CL	1
Q9NXG2	MCF10A	CL	1
P49411	MCF10A	CL	1
Q9Y3Y2	MCF10A	CL	1
P15104	MCF10A	CL	1
O14578	MCF10A	CL	1
Q01081	MCF10A	CL	1
Q12774	MCF10A	CL	1
O75691	MCF10A	CL	1
Q9C0C2	MCF10A	CL	1
P52888	MCF10A	CL	1
Q15459	MCF10A	CL	1
Q8NI36	MCF10A	CL	1
Q6UX71	MCF10A	CL	1
P67936	MCF10A	CL	1
Q8N684	MCF10A	CL	1
Q16891	MCF10A	CL	1
P22314	MCF10A	CL	1
O00154	MCF10A	CL	1
P13804	MCF10A	CL	1
Q9P2J5	MCF10A	CL	1
P24752	MCF10A	CL	1
Q8NDT2	MCF10A	CL	1
P13797	MCF10A	CL	1
O43237	MCF10A	CL	1
P07355	MCF10A	CL	1
Q92896	MCF10A	CL	1
Q9UHW9	MCF10A	CL	1
Q99996	MCF10A	CL	1
Q15050	MCF10A	CL	1
Q99426	MCF10A	CL	1
P60981	MCF10A	CL	1
Q99700	MCF10A	CL	1
Q6UN15	MCF10A	CL	1
P49368	MCF10A	CL	1
P04406	MCF10A	CL	1
Q01804	MCF10A	CL	1
Q13740	MCF10A	CL	1
P19367	MCF10A	CL	1
P11216	MCF10A	CL	1
Q96QR8	MCF10A	CL	1
Q9UGI8	MCF10A	CL	1
Q9Y383	MCF10A	CL	1
P32926	MCF10A	CL	1
P29034	MCF10A	CL	1
P07900	MCF10A	CL	1
Q6PD62	MCF10A	CL	1
Q99614	MCF10A	CL	1
P63104	MCF10A	CL	1
P41252	MCF10A	CL	1
Q15637	MCF10A	CL	1
Q8WX93	MCF10A	CL	1
O75179	MCF10A	CL	1
P06737	MCF10A	CL	1
O43707	MCF10A	CL	1
P14625	MCF10A	CL	1
P50579	MCF10A	CL	1
Q7L0Y3	MCF10A	CL	1
Q6IQ49	MCF10A	CL	1
Q13427	MCF10A	CL	1
P05455	MCF10A	CL	1
Q15942	MCF10A	CL	1
Q15654	MCF10A	CL	1
Q00577	MCF10A	CL	1
Q7Z2W4	MCF10A	CL	1
O14979	MCF10A	CL	1
O15231	MCF10A	CL	1
P84098	MCF10A	CL	1
Q29RF7	MCF10A	CL	1
P30825	MCF10A	CL	1
Q05519	MCF10A	CL	1
Q96PK6	MCF10A	CL	1
P05023	MCF10A	CL	1
O14617	MCF10A	CL	1
Q8IVT2	MCF10A	CL	1
Q9UGU0	MCF10A	CL	1
Q02487	MCF10A	CL	1
Q5JRA6	MCF10A	CL	1
Q96GQ7	MCF10A	CL	1
P09758	MCF10A	CL	1
O00629	MCF10A	CL	1
P40121	MCF10A	CL	1
Q9H583	MCF10A	CL	1
P31483	MCF10A	CL	1
Q7L576	MCF10A	CL	1
P02794	MCF10A	CL	1
Q6KC79	MCF10A	CL	1
P63151	MCF10A	CL	1
Q9NVS2	MCF10A	CL	1
P49454	MCF10A	CL	1
