Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
EXOC7_HUMAN					3	2		2			2	
ZC3H4_HUMAN											2	
DHX8_HUMAN							2				2	
F1882_HUMAN											2	
CTSR1_HUMAN				2								
5NT1B_HUMAN				2								
MA7D3_HUMAN				2							2	
BCOR_HUMAN					2							
CORA1_HUMAN				4	2		2	2			2	
ARI3A_HUMAN											2	
NMDE2_HUMAN					3							
CREC2_HUMAN					4						2	
RAI1_HUMAN											2	
BCAS4_HUMAN											2	
TRPC1_HUMAN											2	2
KHNYN_HUMAN		2										
PNM6A_HUMAN		2										
ZO3_HUMAN		2										
EPHB3_HUMAN					2							
ENO4_HUMAN					2							
FAT2_HUMAN		2			2					4	2	3
TOPZ1_HUMAN						2				3	3	5
ANS4B_HUMAN					2							
SYNJ2_HUMAN					2	2						4
ENOA_HUMAN										2		2
MYO5A_HUMAN					3		2	3	3	3	6	5
RCL1_HUMAN							2					3
DRG1_HUMAN										1	2	1
FA71B_HUMAN		2										
RIMS1_HUMAN	2	2					2			3	3	
ACAP3_HUMAN											2	
M3K13_HUMAN			2									
STIL_HUMAN			2	2			3					2
DSC3_HUMAN							2					
ENPL_HUMAN							2					
CCAR2_HUMAN							2					
UBP43_HUMAN							2					2
STOX1_HUMAN												2
CF132_HUMAN											2	2
CTTB2_HUMAN						2					2	
LOX12_HUMAN											2	
CAHD1_HUMAN											2	
ATG2B_HUMAN	2										2	
CC191_HUMAN				3								
CNTRL_HUMAN	2	3	4	3	4	4			4	4	3	4
CC148_HUMAN	2											
GREB1_HUMAN							3	2				
MYO6_HUMAN							3		3	2		
CFA53_HUMAN				2								
TTC24_HUMAN						2						
PLD3_HUMAN						2						
ACOC_HUMAN				2		2	2		2			
PCDB8_HUMAN				2						2	2	
PCDBD_HUMAN				2						2		
DCR1C_HUMAN									2			
NAV3_HUMAN							1		2			
FREM2_HUMAN							1					
LS14A_HUMAN							1			1	1	
SAFB2_HUMAN										2		2
TBCD_HUMAN						2				2	3	
HPSE2_HUMAN										2		2
NPT2C_HUMAN						1						
PPIP1_HUMAN							2					
HXA2_HUMAN						1	2			2		
GBP4_HUMAN							2			2		
TUTLB_HUMAN										2	1	
TCPH_HUMAN		2										
FACD2_HUMAN		2		3								5
CE290_HUMAN		3	2	3	2	3	5	4	5	2	3	4
UBP20_HUMAN												2
Z3H7A_HUMAN												2
2AAB_HUMAN			2									2
FANCC_HUMAN							2					
LIGO4_HUMAN			2				2			2		2
POLI_HUMAN				2	2				4	2	2	2
BLM_HUMAN				4	2							
KAD8_HUMAN								2				
TPPC5_HUMAN				3				2				
PDS5B_HUMAN				3	2			2			2	2
DEN4C_HUMAN				2								
PCD17_HUMAN							3	2				
CND1_HUMAN				3		2	3					
CP46A_HUMAN				3								
PCDA3_HUMAN				2		2						
ANK3_HUMAN		4	3	3	4	2		3		2	3	
IF5A2_HUMAN				2	3					1		
IF5AL_HUMAN				2		3				1		
IF5A1_HUMAN				2		3				1		
GLYM_HUMAN											2	
ABCA1_HUMAN								6	2		3	
DOCK1_HUMAN							2		3			
MTMRB_HUMAN							2				2	
MB213_HUMAN					2		2					
TY3H_HUMAN					2		1					2
CTGE4_HUMAN							2					
CTGEF_HUMAN							2					
CTGE8_HUMAN							2					
CTGE6_HUMAN			2				2					
F193B_HUMAN			2									
UBR4_HUMAN			2	3		4				2	2	2
HELZ_HUMAN		4				2			2	3		
PTRF_HUMAN										2		
CGL_HUMAN										2		
SF3B3_HUMAN										2		
F207A_HUMAN										2		
JHD2C_HUMAN						2						3
DDX60_HUMAN		2					3	5	4	2	4	3
WDR64_HUMAN										2		
OR4L1_HUMAN								2				
CAAP1_HUMAN									2			
ZMYM3_HUMAN									2			
SMAD6_HUMAN									2			
NU188_HUMAN				2				2	2	2		
KIF4A_HUMAN										2		
FGD6_HUMAN						2	4		2			
RGPA2_HUMAN				3		2	2	2				
GVIN1_HUMAN			2	5	4	4				2	2	3
TTL11_HUMAN										2		
KANL1_HUMAN							2					
GUC2D_HUMAN				2	3	2	3	2		2		
ATM_HUMAN				4	3	4	3	2	2	2	3	4
TT39C_HUMAN										2		
CAND2_HUMAN						3	2			2	2	
SHAN2_HUMAN											2	4
UBP36_HUMAN										2	2	
KRT36_HUMAN					3							
ITA6_HUMAN					2							
SPEG_HUMAN				3	3	3					2	2
RBGPR_HUMAN			2									2
IRGQ_HUMAN												2
KCNQ1_HUMAN							3					
ARI4A_HUMAN				2	2		3					
KDM6B_HUMAN				2	2	1						2
SI1L1_HUMAN								2				
NAV2_HUMAN					2	3	2	2				
FOXD3_HUMAN					2							
TRPM3_HUMAN					2							
MCAF1_HUMAN					2		2					2
CP062_HUMAN					3			2			2	2
DCNL3_HUMAN											2	
PRD13_HUMAN									2			
WDFY3_HUMAN		2		3	4	2			2	2	2	
MYO1A_HUMAN									2	2	2	
PREX1_HUMAN				2				3		2		2
SUCA_HUMAN									2			
BZW2_HUMAN									2	2		3
PHAR4_HUMAN						3					2	
POK25_HUMAN							2					
POK8_HUMAN							2					
POK6_HUMAN							2					
PO113_HUMAN							2					
POK19_HUMAN							2		2			
POK10_HUMAN							2					
FINC_HUMAN						2	2					
GRIK3_HUMAN				2		2	2				2	
EHMT2_HUMAN				3							2	
SAHH2_HUMAN											2	
BZW1_HUMAN										2	2	2
ABCB8_HUMAN								2		2		
STXB5_HUMAN										2		
FREM3_HUMAN					2		4	2	2		3	
ADCY4_HUMAN						2						
K1C39_HUMAN			3			2					3	
AT2A2_HUMAN										2	3	
SMCR8_HUMAN									3	2		
SIMC1_HUMAN											2	
APOA1_HUMAN											2	
JPH3_HUMAN												2
DOP2_HUMAN					2		2			2	2	3
ITB2_HUMAN				2								
PIWL2_HUMAN				2								
EFC2_HUMAN				2			2					
P210L_HUMAN				3	2							
SHOX2_HUMAN				3			4		4			
MYO19_HUMAN				2							2	
CPMD8_HUMAN				2								
CP059_HUMAN				2		2						
LOXH1_HUMAN			1	2				2				
FTM_HUMAN			1									
SNX1_HUMAN							3					
NUMA1_HUMAN			1				4	4	3	2	2	
MYH15_HUMAN							2					
MBD6_HUMAN							2				3	
THNS1_HUMAN				2								
AOXA_HUMAN				3								
PTN3_HUMAN				2								
ZNRF3_HUMAN				3								
GALT8_HUMAN				2							2	
AFF3_HUMAN							4					
NFM_HUMAN							3		2		2	4
I2BP2_HUMAN											3	
APC5_HUMAN						2					2	
KS6A2_HUMAN					2	3		3		2	3	3
SCYL2_HUMAN								2				
DOCK2_HUMAN								2				
KS6A1_HUMAN								3		2		
RM04_HUMAN						1				1		
K121L_HUMAN					3					2		
VRK1_HUMAN					2					2		
INT1_HUMAN	2						2			2	4	
FHDC1_HUMAN	2						2					
ZFY26_HUMAN	2							4				
CAC1G_HUMAN						2						
NSD2_HUMAN						2				2		
F110D_HUMAN					2							
DMAP1_HUMAN				2	2				2			
DISC1_HUMAN		2		2						2		
CO1A2_HUMAN										2		
EXPH5_HUMAN				2								
KATL2_HUMAN				2						2		
TCPG_HUMAN										2		
GPTC1_HUMAN												2
AT1A3_HUMAN												2
LIFR_HUMAN												2
ASTN1_HUMAN									2			2
TARSH_HUMAN							2					2
AP5B1_HUMAN										2		2
IIGP5_HUMAN										2		3
NHS_HUMAN											2	
FA98B_HUMAN											2	
MNS1_HUMAN											2	
UBA5_HUMAN											1	
SCF_HUMAN											2	
JCAD_HUMAN											2	
CLAP2_HUMAN		2	2			3				2	2	4
KAT6B_HUMAN					2	2	3					
NTM2D_HUMAN					2							
PWP2B_HUMAN					2							
HLAE_HUMAN					2							
ANDR_HUMAN							2					
KLD8B_HUMAN							2					
1B81_HUMAN					2		2			2		
1B53_HUMAN					2							
1B56_HUMAN					2							
1B37_HUMAN					2		2			2		
1B82_HUMAN										2		
1B52_HUMAN					2					2		
1B42_HUMAN							2					
1B46_HUMAN							2					
1B41_HUMAN							2			2		
1C06_HUMAN										2		
1C02_HUMAN										2		
1B44_HUMAN										2		
DISP2_HUMAN		2										
PRCC_HUMAN		2										
F196B_HUMAN						2						
SETBP_HUMAN					3	2						
MROH7_HUMAN		2			3				2	2		
PUF60_HUMAN										1		
F189B_HUMAN												2
IRS1_HUMAN			2	2	2		3		3			2
CNTN2_HUMAN										2		2
PERM1_HUMAN										2		
BTBDB_HUMAN				2		2						
MAST4_HUMAN				3	2			3		2		
TAF6L_HUMAN				2								
GLI3_HUMAN				2								3
RABE1_HUMAN												2
APC1_HUMAN									2			
PLCL1_HUMAN		2						3	2			3
EWS_HUMAN										1		1
GANC_HUMAN				2								
TRNK1_HUMAN				2			3				2	
NEMF_HUMAN				2		2	2	2	2		2	3
LRC47_HUMAN										1	1	
LRC41_HUMAN										2		
JKIP2_HUMAN	2									2		4
K1C24_HUMAN		3	4	4	2				4			3
OAT_HUMAN								2				
SACS_HUMAN	2			3	4	5	4	2	5	5	3	6
C2D2A_HUMAN				1								
ZC3H1_HUMAN	2			1								
ZNF91_HUMAN	2											
RL11_HUMAN										1	1	
TIE1_HUMAN		3										
ANR62_HUMAN		3								4		
SAHH3_HUMAN											3	
ADRB2_HUMAN					2							
FAT3_HUMAN			3	2	2			2		5	5	
NBPFK_HUMAN										3		
CELR3_HUMAN	2	2								4		4
MINK1_HUMAN						3						
ASAP2_HUMAN				2		3		3				2
MELK_HUMAN									2			
FREM1_HUMAN									2			
SYCP2_HUMAN									2			
RNF17_HUMAN				3					2		4	3
CSMD1_HUMAN	2			4	3						4	2
ZN574_HUMAN	2											
STAB1_HUMAN	2											
COGA1_HUMAN	2						2		2			
AT133_HUMAN					1							
ABCBA_HUMAN									2			
USF3_HUMAN	2			3	1				2		1	
PDE6A_HUMAN											2	
ITB6_HUMAN					2							
CCD81_HUMAN					2	4		2		3	2	
SCRT1_HUMAN					2							
IQCAL_HUMAN					2							3
IPO11_HUMAN		2						3		3		2
CJ067_HUMAN						2					3	
TRPC6_HUMAN				4	3			4			3	
B3A4_HUMAN											3	2
BNC2_HUMAN											3	
NCOR1_HUMAN											4	
MCEE_HUMAN					2							
OTOF_HUMAN					2						3	
K0825_HUMAN					2						3	2
A2MG_HUMAN									2			
PSB4_HUMAN									2			
PKDRE_HUMAN									1		2	
FKRP_HUMAN												3
RRP15_HUMAN												1
AL1L2_HUMAN												2
LAMB4_HUMAN									2			
KAD9_HUMAN									2		4	3
MYO9A_HUMAN						2		2	2	4	4	4
PTN23_HUMAN			3	4	4		3	4		3		
URGCP_HUMAN				3	2					3		
PKHH2_HUMAN											2	
MYH7B_HUMAN				6			3	2			2	3
OR7G1_HUMAN								2				
DOCK8_HUMAN								2		3	2	3
TOP1_HUMAN										2		3
TOP1M_HUMAN										2		2
ZN292_HUMAN							2					
FLIP1_HUMAN				3			3					
JIP3_HUMAN		3		2			3					2
ZCHC2_HUMAN												2
K1755_HUMAN												2
CO9A1_HUMAN						1						
PAPP2_HUMAN						1			2			
UBP16_HUMAN						1						
TAF4B_HUMAN						1					2	2
STA13_HUMAN												2
JAG1_HUMAN												2
MYEF2_HUMAN										3	2	2
OTUD4_HUMAN				3	4				3	2	4	2
SYTL2_HUMAN										3		
RICTR_HUMAN										3		
RS28_HUMAN								1				1
C2C2L_HUMAN						2						
PTPRQ_HUMAN				2	2	2	2			3		2
H12_HUMAN						4				2		
H13_HUMAN				5	4			3	3	2	5	7
H14_HUMAN				5				3	3	2	5	
QORL1_HUMAN				2								
TRPS1_HUMAN				2						3		
COR2A_HUMAN				3								
PAPOB_HUMAN						2						
SHAN3_HUMAN								2				
PARD3_HUMAN								2				
KIF22_HUMAN								2				
RPAP1_HUMAN				3	2	2		2		3	4	4
RASF1_HUMAN											2	
ANXA6_HUMAN											2	3
KAT6A_HUMAN											2	
ARP6_HUMAN											2	
PUR4_HUMAN												2
UBA6_HUMAN												2
DICER_HUMAN	2					3				3	2	2
SYFM_HUMAN							3					
F131A_HUMAN							2					
FMN1_HUMAN	2						2					
PASD1_HUMAN	2											
OTOP1_HUMAN										2		
KIF17_HUMAN										2		
FANCE_HUMAN										2		
CR1_HUMAN		3								2		
CLIP4_HUMAN										2		
TSKS_HUMAN										2		3
TCPQ_HUMAN										2	3	
NCKP5_HUMAN							2				2	
TNF13_HUMAN								2				
TALDO_HUMAN								2				
CARL3_HUMAN								2			2	
LBN_HUMAN												2
KRT85_HUMAN					2	2						2
TTC28_HUMAN			2		2			4			2	2
ZN648_HUMAN											2	
MARK4_HUMAN			2								2	
SPIR2_HUMAN												2
UN45B_HUMAN											2	2
NAV1_HUMAN					6				3	2	2	
KDM2A_HUMAN										2		
CARL2_HUMAN						2						
SCN7A_HUMAN						2				2		
BRPF3_HUMAN										2		
PLCE1_HUMAN				2	3	5		4	2	2		
ZC3H8_HUMAN										2	2	
PKHG3_HUMAN							2					
KCNQ5_HUMAN			2				2				2	
MYO1H_HUMAN											2	
KI13B_HUMAN									2	2	2	
PRR12_HUMAN				3	2				2			3
GGT1_HUMAN						2						
VP13A_HUMAN				3	3	2	2	3	3		3	4
RBL1_HUMAN										2	3	
NACAD_HUMAN				2						2		
ARF3_HUMAN												2
ZMYM2_HUMAN												2
SRBP1_HUMAN								2	2			
TET2_HUMAN					2			2				
ZMYM1_HUMAN					2							
PCDA1_HUMAN					2							
PCDA4_HUMAN					2							
PCDAB_HUMAN				2	2							
P66A_HUMAN				2								
SMC6_HUMAN				2					2			
MUC20_HUMAN				2								
ZN609_HUMAN				2						2		2
ZN470_HUMAN											2	
CBS_HUMAN					2							
CBSL_HUMAN					2							
AKD1A_HUMAN								2				
MAP1B_HUMAN					2	2		2	2		2	
OTU7B_HUMAN											2	
TYDP1_HUMAN						2						
GANAB_HUMAN						2						
NSD1_HUMAN						2						2
ARIP4_HUMAN							2					2
F135B_HUMAN												2
SYNE3_HUMAN												2
ATS13_HUMAN		2										2
TLL1_HUMAN												2
ARG33_HUMAN												2
CEP83_HUMAN							2					2
U1SBP_HUMAN												2
HEAT6_HUMAN												2
PPR21_HUMAN				2								
ANKZ1_HUMAN				2	2							
FXL18_HUMAN				2					2			
MRP7_HUMAN			2	2				3			2	2
KLOT_HUMAN				3							2	
SCAP_HUMAN						1						
SH24A_HUMAN						1						
RL37_HUMAN				2	1	1	3	3	4		2	
FCSD1_HUMAN											2	
MTAP2_HUMAN				5						2	2	
PTPRS_HUMAN							2		3	2		
HS74L_HUMAN										2		
RL15_HUMAN				3	4	3	2	2	2	1	5	3
ATX1_HUMAN				2							2	
COHA1_HUMAN				3				2			3	
S38AA_HUMAN												2
DUSTY_HUMAN												3
NEBL_HUMAN						2						
REXO1_HUMAN						2					3	3
CO5_HUMAN						2		2				
LYST_HUMAN			2		3	2		3	4		2	
EIF3J_HUMAN									3			
ROBO1_HUMAN		3	3	3		2	2	2	3			3
ADCYA_HUMAN									3			
SHRM2_HUMAN					2	3	2		2	2	2	3
MYPC2_HUMAN										2		
MYBB_HUMAN											2	1
FCSD2_HUMAN											2	
NU153_HUMAN											2	
MACD1_HUMAN											2	
TEX15_HUMAN					3	2						4
TBL3_HUMAN							3				2	4
ZN483_HUMAN				2								
JAK2_HUMAN				3				2				
TIE2_HUMAN				2								
SRSF8_HUMAN				2	3	4	2	3			2	2
UBP47_HUMAN							2				2	
PHC2_HUMAN							2	2				
CO7_HUMAN							2					
UBP6_HUMAN							2					
RTKN_HUMAN							2					
CC151_HUMAN							2				2	
CU059_HUMAN		2										
ANR12_HUMAN		2		3		4		2	2	2	2	5
PRC2B_HUMAN			1		2	3			2	2	3	
ELOA2_HUMAN			2								2	
CNNM2_HUMAN				2	2							
ESYT2_HUMAN									2			
PNMT_HUMAN									2			
K1211_HUMAN	2			3	2		2		2	2	2	2
RADIL_HUMAN	2											
CE045_HUMAN							2					
ZN319_HUMAN							2					
ZN496_HUMAN							2					
NSD3_HUMAN							2					
K154L_HUMAN	2			3	2		2					
CL004_HUMAN	2											
ORC5_HUMAN	2											
RPA1_HUMAN											4	5
ZN512_HUMAN				2		2						
DDB1_HUMAN				2			2				3	
RSRC2_HUMAN					3							
ARHG2_HUMAN				3	3		3	2	3	4	3	6
BMR1A_HUMAN									2			
HRH3_HUMAN									2			
NCKP1_HUMAN									2			
EPHA5_HUMAN				2					2			
CR025_HUMAN						2						
OTU6A_HUMAN							2					
DMWD_HUMAN				3		2	2					
GSCR2_HUMAN				2	2	1		2	2	2	4	5
TCEA3_HUMAN						3						
AFG32_HUMAN				3		2				4	3	
RTN1_HUMAN						4						
BHE41_HUMAN									3			
TNG6_HUMAN									3			
AT2A3_HUMAN							3		3			
DNHD1_HUMAN	2		2	4	4	4	3	3	5	3	6	2
PLAK_HUMAN	2				3	3						
CTGE9_HUMAN							2					
PEX26_HUMAN							2					
CAMP1_HUMAN	2				3	4	2		2		2	
YH010_HUMAN	2		2									
EPS15_HUMAN								2				
SI1L3_HUMAN	2	2					3	4			3	
AOC1_HUMAN		2				2						
DCD_HUMAN	1	1										
STAT6_HUMAN								2		2		
MAST1_HUMAN				3				3	2			
LRC8D_HUMAN								2				
DNMBP_HUMAN								2				
ZN638_HUMAN				3		3		2		3		
INTU_HUMAN									2			
S2542_HUMAN									2			
FILA2_HUMAN		1		2					1			
SVEP1_HUMAN			2									
PLPR3_HUMAN						2						
PTPRN_HUMAN		1	2		3	2						
3BP5_HUMAN					2							
SMG5_HUMAN					2		3					
MEGF8_HUMAN					3		2		2			
CNTN6_HUMAN								2				
CA2D4_HUMAN		1			2		2	2		2		
NOTC2_HUMAN										2		
IMP3_HUMAN				2		1	1	1	1	1	1	1
HABP4_HUMAN											2	
SHBG_HUMAN										2	2	
CHST1_HUMAN												3
RPGR1_HUMAN				3	3				2			
CE128_HUMAN				4						2		4
DQX1_HUMAN											2	
TNKS2_HUMAN				5	3	2	3	2			3	
RS19_HUMAN					2		2	4	3			
RL17_HUMAN				3	2	2			1			3
TRI50_HUMAN								2				
TRI73_HUMAN								2				
TRI74_HUMAN								2				
DOC11_HUMAN								2			2	4
HDAC7_HUMAN								3			2	
5NTD_HUMAN											2	
SDK2_HUMAN											2	
NDUA4_HUMAN								1				
ABCA4_HUMAN					2		2	1	2		2	
MADD_HUMAN				3							2	
PLAP_HUMAN											2	
T10IP_HUMAN											2	
PCDGK_HUMAN												2
STAU2_HUMAN												2
LRCH4_HUMAN		2		3							2	2
NGLY1_HUMAN								3	2		2	
CK5P1_HUMAN											2	
SRCN1_HUMAN										2	2	2
RHN2P_HUMAN						2				2		2
HTRA3_HUMAN												2
LRSM1_HUMAN							2	2				2
ORC1_HUMAN								2		2		2
NCLN_HUMAN								2				
KIBRA_HUMAN				2	2		2	2				
PRS4_HUMAN			3	2								
STAR9_HUMAN			2	3		5	2	2	2			3
RC3H1_HUMAN				2								
HYAS1_HUMAN				3								
WDR72_HUMAN				2						2		2
DZI1L_HUMAN										3	2	
WNK1_HUMAN										2		
LIMA1_HUMAN							2			3		4
ZSWM1_HUMAN					2							
ANKAR_HUMAN				2	3	3			3			2
FCGR1_HUMAN							2					
AFAD_HUMAN							2	2		2		2
RAD54_HUMAN										2		
KDM2B_HUMAN			2									
MRP5_HUMAN				2								
ARMC1_HUMAN				2								
FUK_HUMAN					1							
CTRO_HUMAN		3	2	2	1				2			
UBN2_HUMAN									3			
TRM2_HUMAN									2			
NF1_HUMAN		3		3	3	4	3	2	2		5	
MCM8_HUMAN							2					
K1210_HUMAN						2	2					2
CDK12_HUMAN						3	4	4	5		4	2
REN3B_HUMAN					2			2				2
DYH2_HUMAN	1	2		3	2	3				3	7	3
PTPRT_HUMAN					3							
UNC80_HUMAN	1			2	4							
TMC3_HUMAN												3
TTC12_HUMAN						2			3			
MMRN1_HUMAN						2						
ITPR3_HUMAN		2	2	4	8	2	2	6	5		5	3
SURF6_HUMAN												1
ICAL_HUMAN												3
MILK1_HUMAN												2
F186A_HUMAN				2	2						6	2
KINH_HUMAN		2		3	3					3	4	3
PPR3F_HUMAN					5					3		
MAGD4_HUMAN				3						3		
FA47A_HUMAN										3		
REV3L_HUMAN				3	2	2	4		3	5	3	3
CFA58_HUMAN				3		2					2	
CDC5L_HUMAN						2						
SHIP2_HUMAN						2					3	
MED13_HUMAN						2			2		2	
VWA3A_HUMAN							2					2
P3H3_HUMAN												2
CDKL5_HUMAN												2
USH1C_HUMAN				2		2	2					
OSBP1_HUMAN								2				
CC186_HUMAN									3			
TBC9B_HUMAN				2		2		2	2			2
HMCS1_HUMAN					2							
PCDGM_HUMAN					2							2
DJC21_HUMAN				3				3				
CMYA5_HUMAN	2			4	3	3	2			4	3	2
T184A_HUMAN					2	2	2					
SLN14_HUMAN				2	2	2	2	2		2	3	3
UBP45_HUMAN											2	
PDE10_HUMAN											3	
CE85L_HUMAN											2	
SIRBL_HUMAN												3
CROCC_HUMAN				4		3	3	3	2	3	2	3
RHG29_HUMAN				2	3					4		
DNJC3_HUMAN												3
SHRM1_HUMAN		2				3				2	3	2
ITA7_HUMAN						2						
PCDAA_HUMAN						2			1	3		
CHRD_HUMAN		2										
ZN598_HUMAN		2			5	4			3		4	
DDX47_HUMAN										2	5	5
TLR8_HUMAN												2
LRCH3_HUMAN												2
T3JAM_HUMAN					2							
AP3B1_HUMAN					2							
XPO2_HUMAN					2							
SUMO4_HUMAN								1				
SUMO2_HUMAN								1				
SUMO3_HUMAN								1				
KIFC3_HUMAN								2				
NOD1_HUMAN								2				
ZFHX2_HUMAN					2		2	2				
K1549_HUMAN					2	4						2
HERC3_HUMAN												2
ASND1_HUMAN										3		2
NHSL2_HUMAN						2			2			
PRAX_HUMAN				3		2						
MUC12_HUMAN								2				
TET1_HUMAN				3	2			2				
LRBA_HUMAN		2		3								
CLCA2_HUMAN					2							
NLRC3_HUMAN		2			2	3		2	2		2	2
TIM44_HUMAN		2					2					
PHF14_HUMAN		2										
SCNNG_HUMAN					2							
FASTK_HUMAN						2						
HMCN2_HUMAN	2	3	2		2	3	3		3	4	3	5
CD15L_HUMAN												2
KLH15_HUMAN			2									
RO60_HUMAN					2		2					
TBC19_HUMAN						2						
CDK13_HUMAN	2		2		2	2				1		2
PDE11_HUMAN	2								2			
SEM3B_HUMAN			2									
APC4_HUMAN			2									
TREF1_HUMAN			2									
CA167_HUMAN			2									
UTRO_HUMAN			2	3	4	5		2	4	4	3	7
LIPB1_HUMAN							4					
ZFHX4_HUMAN	1			4	3	3	2		3	4	5	4
ANR28_HUMAN				3	2	3						
UTP15_HUMAN				2		4				6	5	5
FLOT2_HUMAN							2					
TBA1C_HUMAN				2	3		2	2		5	4	3
TBA1B_HUMAN				2	3		2	2		5	4	3
TBA1A_HUMAN				2	3		2	2		5	4	3
RALYL_HUMAN				4	3	4	4	3	3	7	5	4
LAR1B_HUMAN				4	3	2	4	3	5	6	3	3
K2C4_HUMAN		7	9	7	6		4	4	5	5		
ZN300_HUMAN						2						
CP27B_HUMAN									2			
SK2L2_HUMAN					4	2			2	6	3	5
RRP8_HUMAN				2	3	3	2	2	1	5	4	5
RL21_HUMAN				2		3	2	2		3	2	
TOP2A_HUMAN							2			5	2	8
MAP4_HUMAN										4	6	6
RB12B_HUMAN				2								
FAKD2_HUMAN				1	2	1				4	5	5
PCAT2_HUMAN											2	
PGRP2_HUMAN												2
BICD2_HUMAN						2						2
NXPE4_HUMAN							2					
SAS6_HUMAN							2					
TCHL1_HUMAN							2					
PK1L2_HUMAN							2				2	2
RAD_HUMAN											2	
CELF6_HUMAN												2
ARHGP_HUMAN												2
TTC37_HUMAN				2		2	2					2
IF4G2_HUMAN							2	2			1	1
TPD52_HUMAN											2	
PRGC2_HUMAN							2				2	
SDA1_HUMAN						2				4	2	5
RS7_HUMAN				9	6	6	6	2	2	4	6	6
ELAV3_HUMAN								3				
ORC3_HUMAN									2			
SMD1_HUMAN	1	1		4	2	4	2	3	1	3	1	3
TRM2A_HUMAN	1		2									
PCOC2_HUMAN												2
RHBG_HUMAN												2
SEPT9_HUMAN												2
HCN4_HUMAN												2
DLGP4_HUMAN							2	3				2
C2CD3_HUMAN	1				2	4		5	2		4	2
NDUV1_HUMAN	1											
SET1B_HUMAN							2					
YLPM1_HUMAN	1						2	2				
ELK4_HUMAN											2	
PCDGA_HUMAN								2				
MYLK_HUMAN	1							2			2	
FANCJ_HUMAN												3
P3C2B_HUMAN							2					2
ALMS1_HUMAN				4	2	2	3	2		1		3
CHD1L_HUMAN										1		
WDHD1_HUMAN										1		
PMS2_HUMAN											3	
DHX34_HUMAN							3					
SWAHB_HUMAN				2	2		2				3	3
ARAP2_HUMAN		2			2						4	
ATS14_HUMAN					2							
PEAK1_HUMAN					2				4	1	3	5
MUC5A_HUMAN				3		2	3	5		1	1	
ASTN2_HUMAN										1		
PI51B_HUMAN										1		3
PI51C_HUMAN										1		
HIPL2_HUMAN								2				
PCX2_HUMAN			2	2	2	2	2	2	4		3	
AIM1L_HUMAN				3								
ARI1B_HUMAN			2	3								
UROL1_HUMAN			2									
FOLC_HUMAN							2					
ZBT45_HUMAN									2			
TB10B_HUMAN									2			
PRUN2_HUMAN			2	2	2		2	3	2		3	3
CCD14_HUMAN					2							
KIFA3_HUMAN					2						3	
CA094_HUMAN				3								
S38A4_HUMAN									2			
GTPBA_HUMAN					2				2			
CJ012_HUMAN				4	3						3	2
RIP_HUMAN									2			
CAN15_HUMAN									2			
MCM5_HUMAN				3					2	1	4	
ELYS_HUMAN						2			3	1		3
PIGG_HUMAN											2	
CC14A_HUMAN											2	
NR0B1_HUMAN											2	
CSKP_HUMAN					3						2	
CNTRB_HUMAN					1							
GYS1_HUMAN							2		3			
MYH13_HUMAN					1		3				2	
SCAPE_HUMAN							1					
CS047_HUMAN							1				2	
CP2U1_HUMAN											2	
T11X1_HUMAN											2	
CPSM_HUMAN				4	5			2			2	
SMC4_HUMAN											2	
RHG36_HUMAN			2				2					
RGS12_HUMAN				2		2						
TERF1_HUMAN					1							
DDX11_HUMAN					1							
D11L8_HUMAN					1							
SEM6C_HUMAN								2				
LPH_HUMAN								2				
DDX12_HUMAN					1			2				
PEPL_HUMAN			2	2	1		2		2		2	
MARCO_HUMAN				2							2	
PHTF1_HUMAN										2	2	
GRB10_HUMAN				3		2						
CE112_HUMAN				2								
TCF20_HUMAN				2				2		1		
AF10_HUMAN										1		
CPSF5_HUMAN		1										
F16A1_HUMAN			1									
CO4A1_HUMAN							1					
PLSI_HUMAN							1	2				
