Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
CHTOP_HUMAN					2							
POTEF_HUMAN				5	2	5	2	4		2	2	
TRY6_HUMAN				4			3					
POTEE_HUMAN				5	2	5	2	4		2	2	
KRT37_HUMAN			4									
KRT38_HUMAN			4									
MGAP_HUMAN	3	3	4	8	7	4	4	4	6	6	6	7
DAB2P_HUMAN				4	3		4	3		5	4	3
KNTC1_HUMAN				5		3	4	3	5	6	4	
SYNE1_HUMAN	6	8	7	12	8	5	6	6	5	7	8	10
H11_HUMAN						3						
S12A2_HUMAN				4	4	4	3	4	2	3	3	3
WLS_HUMAN							2					
TALD3_HUMAN							2	3			5	4
RRP7A_HUMAN										2	1	
DYH14_HUMAN				6	6	6	5	5	5	4	6	
SEZ6_HUMAN							1					
DCA13_HUMAN					3	2	1		1	3	6	5
H90B2_HUMAN								2				
CLC4K_HUMAN				4				3				
TPR_HUMAN				4	3	2	2	3		7	3	4
P20L1_HUMAN				4	4			4		5	4	
PRS7_HUMAN					3		4			4	3	
ITAE_HUMAN						2			2			
CP131_HUMAN		2				3						
GLI2_HUMAN		2										
GBRA4_HUMAN		2										
CDK4_HUMAN		2										
IF2B1_HUMAN		2		2				2		3		4
GRIK5_HUMAN			2									
GCN1_HUMAN	5	5	2	5	5		6	4	5	6	3	5
ARHGI_HUMAN	4											2
TBCD8_HUMAN			2									
MCM4_HUMAN			2					2				
ATL1_HUMAN						2						
PK3C3_HUMAN			2	3		2			2			
EXOC6_HUMAN							3					
CAC1B_HUMAN			2	5	3	3	4	3	3	3	4	5
SKI_HUMAN							3			3		
INADL_HUMAN	4	2	2	4	4					3		
RBM20_HUMAN					2							
RT27_HUMAN	3	2		3	2		2		2	4	3	
LAMB2_HUMAN	4	2			2				2			
PUM1_HUMAN				4	6	7	6	3	5	11	12	10
RS3_HUMAN				10	12	12	6	9	8	10	8	12
PLEC_HUMAN	3	4	2	17	15	20	16	11	5	21	30	27
LMTK3_HUMAN										2		
FX4L4_HUMAN					2							
