Accession Number	NonStarved_A	NonStarved_B	Starved_A	Starved_B	Insulin_A	Insulin_B
Q8IZC6|CORA1_HUMAN	0	1	0	0	0	0
Q14204|DYHC1_HUMAN	0	0	0	3	0	0
Q8IYB3|SRRM1_HUMAN	0	0	0	3	1	0
P41252|SYIC_HUMAN	0	3	2	0	0	3
P40429|RL13A_HUMAN	0	3	3	0	0	0
Q14692|BMS1_HUMAN	0	0	3	6	0	0
P26641|EF1G_HUMAN	0	0	0	1	3	5
P04083|ANXA1_HUMAN	0	2	3	0	2	1
Q9NTZ6|RBM12_HUMAN	0	0	1	0	3	3
Q9GZR7|DDX24_HUMAN	0	0	0	0	3	0
Q92804|RBP56_HUMAN	0	4	0	6	6	4
P08648|ITA5_HUMAN	0	0	2	2	0	6
P35269|T2FA_HUMAN	0	0	0	0	5	0
O95793|STAU1_HUMAN	0	2	1	0	2	2
P55072|TERA_HUMAN	0	2	0	1	2	1
O15355|PPM1G_HUMAN	0	1	1	0	1	4
Q02878|RL6_HUMAN	0	3	4	0	0	0
Q9H1E3|NUCKS_HUMAN	0	0	2	2	1	4
Q8WXA9|SREK1_HUMAN	0	3	3	0	0	2
P57723|PCBP4_HUMAN	0	4	0	0	0	0
Q00577|PURA_HUMAN	0	0	1	1	1	1
Q8IWA0|WDR75_HUMAN	0	1	0	0	2	1
Q16540|RM23_HUMAN	0	1	1	2	0	4
P49411|EFTU_HUMAN	0	1	3	0	1	2
P09874|PARP1_HUMAN	0	0	0	0	2	0
O75533|SF3B1_HUMAN	0	0	0	1	2	0
P61254|RL26_HUMAN	0	2	1	2	1	1
P15586|GNS_HUMAN	0	0	2	0	0	1
P62820|RAB1A_HUMAN	0	3	0	1	1	1
P52292|IMA1_HUMAN	0	0	2	0	1	2
P51114|FXR1_HUMAN	0	2	0	1	0	0
Q8WWM7|ATX2L_HUMAN	0	0	3	0	1	0
P34932|HSP74_HUMAN	0	0	0	0	2	1
P61604|CH10_HUMAN	0	0	6	0	0	0
P26583|HMGB2_HUMAN	0	0	0	5	2	3
P27635|RL10_HUMAN	0	3	1	2	0	0
P06732|KCRM_HUMAN	0	0	3	5	0	0
O76094|SRP72_HUMAN	0	1	0	0	3	0
P12268|IMDH2_HUMAN	0	0	0	0	1	0
Q9H0H5|RGAP1_HUMAN	0	2	0	1	3	1
P62424|RL7A_HUMAN	0	1	0	0	1	2
P0C0S8|H2A1_HUMAN (+4)	0	6	0	1	1	0
P31431|SDC4_HUMAN	0	0	2	3	0	0
P11166|GTR1_HUMAN	0	0	2	1	0	0
Q9BZE1|RM37_HUMAN	0	0	1	1	1	1
P29692|EF1D_HUMAN	0	2	0	1	1	1
P30419|NMT1_HUMAN	0	2	0	2	1	0
Q9BZZ5|API5_HUMAN	0	0	0	0	1	1
Q14974|IMB1_HUMAN	0	0	0	0	2	2
P26038|MOES_HUMAN	0	0	0	3	0	5
P30086|PEBP1_HUMAN	0	0	0	2	2	0
Q99442|SEC62_HUMAN	0	1	1	1	1	0
Q6YHK3|CD109_HUMAN	0	0	2	1	0	0
Q92499|DDX1_HUMAN	0	0	0	1	0	0
O14646|CHD1_HUMAN	0	0	0	2	0	0
Q9NVU7|SDA1_HUMAN	0	0	0	0	0	1
O75643|U520_HUMAN	0	0	0	0	0	2
Q9UH17|ABC3B_HUMAN (+1)	0	2	0	4	0	0
Q15459|SF3A1_HUMAN	0	0	0	1	3	1
Q8IY81|SPB1_HUMAN	0	0	0	0	0	1
P05023|AT1A1_HUMAN	0	0	0	0	0	4
P13929|ENOB_HUMAN	0	0	1	0	0	0
Q15393|SF3B3_HUMAN	0	0	0	0	1	0
REVERSE10616	0	0	1	0	0	0
Q9BRL6|SRSF8_HUMAN	0	0	0	8	0	0
P45880|VDAC2_HUMAN	0	2	0	1	0	1
P23284|PPIB_HUMAN	0	1	1	0	0	1
O00469|PLOD2_HUMAN	0	0	0	1	1	0
P52565|GDIR1_HUMAN	0	1	2	0	1	1
Q9NY12|GAR1_HUMAN	0	1	0	1	1	1
Q15428|SF3A2_HUMAN	0	1	0	0	2	2
Q96QR8|PURB_HUMAN	0	0	2	0	1	1
Q7Z739|YTHD3_HUMAN	0	1	0	3	0	0
Q13442|HAP28_HUMAN	0	0	1	0	2	0
Q13748|TBA3C_HUMAN	0	0	37	37	35	30
Q9BW71|HIRP3_HUMAN	0	0	1	0	0	0
Q96AG4|LRC59_HUMAN	0	0	2	0	0	0
Q9P2K5|MYEF2_HUMAN	0	1	0	0	0	0
P23526|SAHH_HUMAN	0	0	0	0	3	0
Q9NYY8|FAKD2_HUMAN	0	0	0	0	4	0
O00541|PESC_HUMAN	0	2	0	0	0	0
O75487|GPC4_HUMAN	0	0	0	0	0	4
P45974|UBP5_HUMAN	0	0	0	0	4	0
Q14847|LASP1_HUMAN	0	1	2	1	0	0
P05198|IF2A_HUMAN	0	2	0	0	2	0
Q15904|VAS1_HUMAN	0	0	0	1	3	0
Q52LJ0|FA98B_HUMAN	0	0	0	0	2	2
